"","id","name","isclosed","review_count","categories","rating","latitude","longitude","price","address1","city","zip"
"167","lJG6XKOdrNnbAgw_otyrdA","Monte Carlo's Pizza & Wings",FALSE,15,"list(alias = c(""pizza"", ""chicken_wings""), title = c(""Pizza"", ""Chicken Wings""))",2.5,40.7865344758853,-77.8713500085983,"$","906 W college ave","State College","16801"
"168","1IAWi6es0TCnJxAqr-pkFA","Pizza Mia",FALSE,11,"list(alias = c(""pizza"", ""salad"", ""italian""), title = c(""Pizza"", ""Salad"", ""Italian""))",3,40.7989692687988,-77.8546524047852,NA,"114 Hetzel St","State College","16801"
"169","O0zWuAEOMjbKGv7OMAUoiQ","Daily Dose Cafe",FALSE,5,"list(alias = c(""breakfast_brunch"", ""bakeries"", ""cafes""), title = c(""Breakfast & Brunch"", ""Bakeries"", ""Cafes""))",4,40.8144259082138,-77.9420272640729,"$","132 Abigail Ln","Port Matilda","16870"
"170","ygfPwcVHasbYgyIN-PbSiA","Papa Pita",FALSE,3,"list(alias = ""mideastern"", title = ""Middle Eastern"")",3.5,40.79752,-77.85517,NA,"431 E Beaver Ave","State College","16801"
"171","sUhMAIx9FASeLHzBIEeiUg","Bagel Crust Cafe",FALSE,1,"list(alias = c(""bagels"", ""salad"", ""sandwiches""), title = c(""Bagels"", ""Salad"", ""Sandwiches""))",4,40.8036202391464,-77.887443149262,NA,"279 Northland Ctr","State College","16803"
"172","ulupclst-r_SpYjqzXBUXA","Dairy Queen",FALSE,12,"list(alias = c(""icecream"", ""hotdogs""), title = c(""Ice Cream & Frozen Yogurt"", ""Fast Food""))",3,40.806124,-77.892171,"$","310 W Aaron Dr","State College","16803"
"173","3e_JNyv6ZBqzZv1GimsZBw","HiWay Pizza Pub - West",FALSE,13,"list(alias = c(""pizza"", ""italian"", ""sportsbars""), title = c(""Pizza"", ""Italian"", ""Sports Bars""))",2.5,40.78429,-77.87531,"$$","1301 West College Ave","State College","16801"
"174","IeI6Z19ugWvvvASSyob-Xg","HiWay Pizza Pub",FALSE,42,"list(alias = c(""pizza"", ""italian"", ""sportsbars""), title = c(""Pizza"", ""Italian"", ""Sports Bars""))",2.5,40.8076,-77.89694,"$$","1688 N Atherton St","State College","16803"
"175","H4TU9cZlA369m7FfPdNizA","Old Oak Tavern",FALSE,6,"list(alias = ""tradamerican"", title = ""American (Traditional)"")",2.5,40.734267,-77.8851215,"$$","101 E Pine Grove Rd","Pine Grove Mills","16868"
"176","hoZgBxg6GPpqkh3Jfy3Qrw","Subway",FALSE,6,"list(alias = c(""sandwiches"", ""hotdogs""), title = c(""Sandwiches"", ""Fast Food""))",4,40.79242,-77.86393,"$","100 S Burrowes St","State College","16801"
